Fe-rich	Fe-rich	S-Fe	S-Fe
11.43	5	11.43	1
11.44	4	11.44	0
11.45	1	11.45	0
11.46	2	11.46	0
11.47	3	11.47	0
11.48	2	11.48	2
11.49	2	11.49	1
11.5	4	11.5	0
11.51	3	11.51	1
11.52	5	11.52	1
11.53	2	11.53	0
11.54	0	11.54	0
11.55	0	11.55	0
11.56	2	11.56	0
11.57	4	11.57	0
11.58	1	11.58	0
11.59	2	11.59	0
11.6	2	11.6	0
11.61	4	11.61	0
11.62	1	11.62	0
11.63	2	11.63	0
11.64	3	11.64	0
11.65	3	11.65	0
11.66	2	11.66	0
11.67	1	11.67	0
11.68	0	11.68	0
11.69	2	11.69	0
11.7	2	11.7	0
11.71	3	11.71	0
11.72	1	11.72	0
11.73	2	11.73	0
11.74	1	11.74	0
11.75	3	11.75	0
11.76	2	11.76	0
11.77	2	11.77	0
11.78	1	11.78	0
11.79	2	11.79	0
11.8	4	11.8	0
11.81	2	11.81	0
11.82	1	11.82	0
11.83	3	11.83	0
11.84	2	11.84	0
11.85	1	11.85	0
11.86	0	11.86	0
11.87	1	11.87	0
11.88	1	11.88	0
11.89	2	11.89	0
11.9	2	11.9	1
11.91	1	11.91	0
11.92	2	11.92	0
11.93	1	11.93	1
11.94	2	11.94	0
11.95	1	11.95	0
11.96	1	11.96	1
11.97	1	11.97	0
11.98	4	11.98	0
11.99	4	11.99	0
12	1	12	0
12.01	1	12.01	0
12.02	1	12.02	0
12.03	0	12.03	0
12.04	1	12.04	0
12.05	0	12.05	0
12.06	0	12.06	0
12.07	1	12.07	0
12.08	0	12.08	0
12.09	1	12.09	1
12.1	3	12.1	0
12.11	2	12.11	0
12.12	0	12.12	1
12.13	2	12.13	1
12.14	1	12.14	0
12.15	3	12.15	0
12.16	1	12.16	0
12.17	2	12.17	0
12.18	4	12.18	0
12.19	3	12.19	0
12.2	1	12.2	0
12.21	0	12.21	0
12.22	0	12.22	1
12.23	2	12.23	0
12.24	1	12.24	1
12.25	2	12.25	0
12.26	1	12.26	0
12.27	1	12.27	0
12.28	2	12.28	0
12.29	1	12.29	0
12.3	2	12.3	0
12.31	3	12.31	0
12.32	2	12.32	0
12.33	1	12.33	0
12.34	0	12.34	0
12.35	2	12.35	0
12.36	1	12.36	0
12.37	1	12.37	0
12.38	0	12.38	0
12.39	0	12.39	0
12.4	0	12.4	1
12.41	0	12.41	0
12.42	0	12.42	0
12.43	1	12.43	0
12.44	1	12.44	0
12.45	0	12.45	0
12.46	0	12.46	0
12.47	2	12.47	0
12.48	3	12.48	0
12.49	1	12.49	1
12.5	1	12.5	0
12.51	0	12.51	0
12.52	0	12.52	0
12.53	0	12.53	0
12.54	0	12.54	0
12.55	0	12.55	0
12.56	1	12.56	0
12.57	0	12.57	0
12.58	1	12.58	0
12.59	1	12.59	0
12.6	1	12.6	1
12.61	3	12.61	0
12.62	1	12.62	0
12.63	0	12.63	0
12.64	0	12.64	0
12.65	1	12.65	0
12.66	0	12.66	0
12.67	2	12.67	0
12.68	2	12.68	0
12.69	1	12.69	0
12.7	2	12.7	0
12.71	1	12.71	0
12.72	2	12.72	0
12.73	1	12.73	0
12.74	2	12.74	0
12.75	3	12.75	0
12.76	2	12.76	0
12.77	1	12.77	1
12.78	1	12.78	0
12.79	0	12.79	1
12.8	1	12.8	0
12.81	1	12.81	0
12.82	3	12.82	0
12.83	2	12.83	0
12.84	1	12.84	0
12.85	0	12.85	0
12.86	0	12.86	0
12.87	1	12.87	0
12.88	0	12.88	1
12.89	2	12.89	0
12.9	1	12.9	0
12.91	0	12.91	0
12.92	1	12.92	0
12.93	0	12.93	0
12.94	0	12.94	0
12.95	1	12.95	1
12.96	2	12.96	0
12.97	1	12.97	0
12.98	1	12.98	0
12.99	3	12.99	0
13	2	13	0
13.01	1	13.01	0
13.02	0	13.02	0
13.03	1	13.03	0
13.04	1	13.04	0
13.05	0	13.05	0
13.06	0	13.06	0
13.07	0	13.07	0
13.08	1	13.08	0
13.09	0	13.09	0
13.1	2	13.1	0
13.11	1	13.11	0
13.12	0	13.12	0
13.13	1	13.13	0
13.14	1	13.14	0
13.15	2	13.15	0
13.16	1	13.16	0
13.17	2	13.17	0
13.18	1	13.18	0
13.19	1	13.19	1
13.2	1	13.2	0
13.21	3	13.21	0
13.22	2	13.22	0
13.23	1	13.23	0
13.24	0	13.24	0
13.25	1	13.25	0
13.26	0	13.26	0
13.27	1	13.27	0
13.28	2	13.28	0
13.29	1	13.29	0
13.3	0	13.3	0
13.31	2	13.31	0
13.32	1	13.32	0
13.33	2	13.33	0
13.34	1	13.34	0
13.35	1	13.35	0
13.36	0	13.36	0
13.37	1	13.37	0
13.38	2	13.38	0
13.39	1	13.39	0
13.4	0	13.4	0
13.41	1	13.41	0
13.42	2	13.42	1
13.43	2	13.43	0
13.44	1	13.44	0
13.45	1	13.45	0
13.46	0	13.46	0
13.47	2	13.47	0
13.48	1	13.48	0
13.49	0	13.49	0
13.5	1	13.5	0
13.51	3	13.51	0
13.52	1	13.52	0
13.53	5	13.53	1
13.54	2	13.54	0
13.55	0	13.55	0
13.56	2	13.56	0
13.57	2	13.57	0
13.58	2	13.58	0
13.59	1	13.59	0
13.6	1	13.6	0
13.61	0	13.61	0
13.62	0	13.62	0
13.63	2	13.63	1
13.64	1	13.64	0
13.65	0	13.65	0
13.66	1	13.66	0
13.67	0	13.67	0
13.68	2	13.68	0
13.69	2	13.69	0
13.7	1	13.7	0
13.71	1	13.71	0
13.72	1	13.72	0
13.73	1	13.73	0
13.74	1	13.74	1
13.75	1	13.75	1
13.76	0	13.76	0
13.77	1	13.77	0
13.78	0	13.78	0
13.79	2	13.79	1
13.8	2	13.8	0
13.81	1	13.81	0
13.82	0	13.82	0
13.83	1	13.83	0
13.84	0	13.84	0
13.85	0	13.85	0
13.86	3	13.86	1
13.87	2	13.87	0
13.88	1	13.88	0
13.89	0	13.89	0
13.9	1	13.9	0
13.91	1	13.91	0
13.92	1	13.92	0
13.93	2	13.93	0
13.94	1	13.94	0
13.95	1	13.95	0
13.96	1	13.96	0
13.97	3	13.97	0
13.98	1	13.98	0
13.99	1	13.99	2
14	1	14	1
14.01	1	14.01	0
14.02	0	14.02	0
14.03	0	14.03	0
14.04	1	14.04	0
14.05	0	14.05	0
14.06	0	14.06	0
14.07	2	14.07	0
14.08	1	14.08	0
14.09	1	14.09	1
14.1	1	14.1	0
14.11	0	14.11	0
14.12	1	14.12	0
14.13	0	14.13	0
14.14	2	14.14	0
14.15	2	14.15	0
14.16	1	14.16	0
14.17	1	14.17	0
14.18	0	14.18	0
14.19	1	14.19	0
14.2	1	14.2	0
14.21	2	14.21	0
14.22	1	14.22	0
14.23	0	14.23	0
14.24	0	14.24	0
14.25	0	14.25	0
14.26	2	14.26	0
14.27	1	14.27	0
14.28	2	14.28	0
14.29	1	14.29	0
14.3	0	14.3	0
14.31	2	14.31	0
14.32	2	14.32	0
14.33	1	14.33	0
14.34	1	14.34	0
14.35	1	14.35	0
14.36	0	14.36	0
14.37	0	14.37	0
14.38	1	14.38	0
14.39	0	14.39	0
14.4	2	14.4	0
14.41	1	14.41	0
14.42	2	14.42	0
14.43	3	14.43	0
14.44	2	14.44	0
14.45	0	14.45	0
14.46	1	14.46	0
14.47	0	14.47	0
14.48	1	14.48	1
14.49	0	14.49	0
14.5	1	14.5	0
14.51	0	14.51	0
14.52	1	14.52	1
14.53	1	14.53	0
14.54	1	14.54	0
14.55	1	14.55	0
14.56	2	14.56	1
14.57	2	14.57	0
14.58	1	14.58	1
14.59	2	14.59	0
14.6	1	14.6	0
14.61	0	14.61	0
14.62	4	14.62	0
14.63	2	14.63	0
14.64	0	14.64	1
14.65	1	14.65	0
14.66	3	14.66	0
14.67	1	14.67	0
14.68	0	14.68	0
14.69	0	14.69	0
14.7	2	14.7	0
14.71	1	14.71	0
14.72	0	14.72	0
14.73	1	14.73	0
14.74	2	14.74	0
14.75	1	14.75	0
14.76	0	14.76	0
14.77	1	14.77	1
14.78	1	14.78	1
14.79	0	14.79	0
14.8	0	14.8	0
14.81	1	14.81	0
14.82	2	14.82	0
14.83	1	14.83	0
14.84	0	14.84	0
14.85	2	14.85	0
14.86	2	14.86	0
14.87	1	14.87	0
14.88	1	14.88	0
14.89	1	14.89	1
14.9	0	14.9	0
14.91	1	14.91	0
14.92	0	14.92	0
14.93	0	14.93	0
14.94	3	14.94	0
14.95	2	14.95	0
14.96	1	14.96	0
14.97	0	14.97	0
14.98	1	14.98	0
14.99	1	14.99	0
15	1	15	0
15.01	1	15.01	0
15.02	0	15.02	0
15.03	2	15.03	0
15.04	2	15.04	0
15.05	1	15.05	0
15.06	1	15.06	1
15.07	1	15.07	0
15.08	0	15.08	0
15.09	0	15.09	0
15.1	0	15.1	0
15.11	1	15.11	0
15.12	1	15.12	0
15.13	1	15.13	0
15.14	1	15.14	0
15.15	2	15.15	0
15.16	1	15.16	0
15.17	1	15.17	0
15.18	1	15.18	0
15.19	1	15.19	0
15.2	1	15.2	0
15.21	1	15.21	0
15.22	0	15.22	0
15.23	1	15.23	0
15.24	1	15.24	0
15.25	0	15.25	0
15.26	0	15.26	0
15.27	1	15.27	0
15.28	0	15.28	0
15.29	0	15.29	0
15.3	2	15.3	0
15.31	1	15.31	0
15.32	1	15.32	0
15.33	0	15.33	0
15.34	1	15.34	0
15.35	3	15.35	1
15.36	2	15.36	0
15.37	1	15.37	0
15.38	3	15.38	0
15.39	2	15.39	0
15.4	0	15.4	0
15.41	0	15.41	0
15.42	0	15.42	0
15.43	0	15.43	0
15.44	1	15.44	0
15.45	0	15.45	1
15.46	0	15.46	0
15.47	1	15.47	0
15.48	1	15.48	0
15.49	0	15.49	0
15.5	1	15.5	0
15.51	2	15.51	0
15.52	2	15.52	1
15.53	1	15.53	1
15.54	1	15.54	0
15.55	1	15.55	0
15.56	0	15.56	0
15.57	2	15.57	0
15.58	1	15.58	0
15.59	0	15.59	0
15.6	0	15.6	0
15.61	0	15.61	0
15.62	0	15.62	0
15.63	1	15.63	0
15.64	1	15.64	0
15.65	0	15.65	0
15.66	2	15.66	0
15.67	1	15.67	0
15.68	1	15.68	0
15.69	3	15.69	0
15.7	2	15.7	0
15.71	1	15.71	0
15.72	1	15.72	0
15.73	1	15.73	0
15.74	0	15.74	0
15.75	2	15.75	0
15.76	1	15.76	0
15.77	1	15.77	0
15.78	0	15.78	0
15.79	1	15.79	0
15.8	1	15.8	0
15.81	1	15.81	0
15.82	2	15.82	0
15.83	1	15.83	0
15.84	0	15.84	0
15.85	0	15.85	0
15.86	1	15.86	0
15.87	1	15.87	0
15.88	1	15.88	0
15.89	1	15.89	0
15.9	3	15.9	0
15.91	1	15.91	0
15.92	1	15.92	0
15.93	1	15.93	0
15.94	2	15.94	0
15.95	1	15.95	1
15.96	0	15.96	0
15.97	0	15.97	0
15.98	0	15.98	0
15.99	2	15.99	0
16	2	16	0
16.01	3	16.01	0
16.02	2	16.02	0
16.03	0	16.03	0
16.04	0	16.04	0
16.05	2	16.05	0
16.06	1	16.06	0
16.07	2	16.07	0
16.08	1	16.08	0
16.09	0	16.09	0
16.1	1	16.1	1
16.11	0	16.11	0
16.12	0	16.12	0
16.13	0	16.13	0
16.14	1	16.14	0
16.15	0	16.15	0
16.16	1	16.16	0
16.17	0	16.17	1
16.18	1	16.18	0
16.19	0	16.19	0
16.2	0	16.2	0
16.21	0	16.21	0
16.22	1	16.22	0
16.23	1	16.23	0
16.24	2	16.24	0
16.25	1	16.25	0
16.26	0	16.26	0
16.27	2	16.27	0
16.28	3	16.28	0
16.29	1	16.29	0
16.3	1	16.3	1
16.31	0	16.31	0
16.32	0	16.32	0
16.33	0	16.33	0
16.34	1	16.34	0
16.35	0	16.35	0
16.36	0	16.36	0
16.37	0	16.37	0
16.38	0	16.38	0
16.39	1	16.39	0
16.4	0	16.4	0
16.41	1	16.41	0
16.42	1	16.42	0
16.43	1	16.43	0
16.44	1	16.44	1
16.45	0	16.45	0
16.46	1	16.46	0
16.47	1	16.47	1
16.48	1	16.48	0
16.49	1	16.49	0
16.5	1	16.5	0
16.51	1	16.51	0
16.52	1	16.52	1
16.53	0	16.53	0
16.54	0	16.54	0
16.55	1	16.55	0
16.56	0	16.56	0
16.57	2	16.57	1
16.58	1	16.58	0
16.59	0	16.59	0
16.6	0	16.6	0
16.61	0	16.61	0
16.62	1	16.62	0
16.63	1	16.63	0
16.64	1	16.64	0
16.65	0	16.65	0
16.66	1	16.66	0
16.67	0	16.67	0
16.68	0	16.68	0
16.69	0	16.69	0
16.7	0	16.7	0
16.71	0	16.71	0
16.72	1	16.72	0
16.73	0	16.73	0
16.74	0	16.74	0
16.75	1	16.75	1
16.76	1	16.76	0
16.77	3	16.77	0
16.78	1	16.78	0
16.79	0	16.79	0
16.8	0	16.8	0
16.81	0	16.81	0
16.82	0	16.82	0
16.83	0	16.83	0
16.84	0	16.84	0
16.85	1	16.85	0
16.86	0	16.86	0
16.87	1	16.87	0
16.88	0	16.88	0
16.89	0	16.89	0
16.9	0	16.9	0
16.91	0	16.91	0
16.92	1	16.92	0
16.93	0	16.93	1
16.94	1	16.94	0
16.95	1	16.95	0
16.96	2	16.96	0
16.97	1	16.97	0
16.98	1	16.98	0
16.99	0	16.99	0
17	0	17	0
17.01	0	17.01	0
17.02	2	17.02	0
17.03	1	17.03	0
17.04	1	17.04	0
17.05	0	17.05	0
17.06	1	17.06	0
17.07	0	17.07	0
17.08	1	17.08	0
17.09	0	17.09	0
17.1	0	17.1	1
17.11	0	17.11	0
17.12	0	17.12	0
17.13	0	17.13	0
17.14	1	17.14	0
17.15	1	17.15	0
17.16	0	17.16	0
17.17	0	17.17	0
17.18	1	17.18	0
17.19	0	17.19	0
17.2	1	17.2	0
17.21	1	17.21	0
17.22	1	17.22	0
17.23	2	17.23	0
17.24	1	17.24	0
17.25	0	17.25	0
17.26	1	17.26	0
17.27	0	17.27	0
17.28	0	17.28	0
17.29	1	17.29	0
17.3	3	17.3	0
17.31	1	17.31	0
17.32	0	17.32	0
17.33	1	17.33	0
17.34	2	17.34	0
17.35	1	17.35	0
17.36	0	17.36	0
17.37	0	17.37	0
17.38	0	17.38	0
17.39	0	17.39	0
17.4	0	17.4	0
17.41	0	17.41	0
17.42	0	17.42	0
17.43	0	17.43	0
17.44	0	17.44	0
17.45	1	17.45	0
17.46	1	17.46	0
17.47	0	17.47	0
17.48	0	17.48	0
17.49	2	17.49	0
17.5	1	17.5	0
17.51	0	17.51	0
17.52	0	17.52	0
17.53	1	17.53	0
17.54	1	17.54	1
17.55	1	17.55	0
17.56	0	17.56	0
17.57	0	17.57	0
17.58	0	17.58	0
17.59	0	17.59	0
17.6	2	17.6	0
17.61	2	17.61	0
17.62	0	17.62	0
17.63	0	17.63	0
17.64	0	17.64	0
17.65	2	17.65	1
17.66	1	17.66	0
17.67	0	17.67	0
17.68	0	17.68	0
17.69	0	17.69	0
17.7	0	17.7	0
17.71	1	17.71	0
17.72	1	17.72	0
17.73	1	17.73	0
17.74	0	17.74	0
17.75	0	17.75	0
17.76	1	17.76	0
17.77	0	17.77	0
17.78	2	17.78	0
17.79	1	17.79	0
17.8	0	17.8	0
17.81	1	17.81	0
17.82	0	17.82	0
17.83	1	17.83	0
17.84	1	17.84	0
17.85	2	17.85	0
17.86	1	17.86	0
17.87	0	17.87	0
17.88	0	17.88	0
17.89	0	17.89	0
17.9	1	17.9	0
17.91	1	17.91	1
17.92	2	17.92	0
17.93	1	17.93	0
17.94	1	17.94	0
17.95	1	17.95	0
17.96	0	17.96	0
17.97	0	17.97	0
17.98	0	17.98	0
17.99	0	17.99	0
18	0	18	0
18.01	1	18.01	0
18.02	0	18.02	0
18.03	1	18.03	0
18.04	1	18.04	0
18.05	0	18.05	0
18.06	0	18.06	0
18.07	0	18.07	0
18.08	0	18.08	0
18.09	0	18.09	0
18.1	0	18.1	0
18.11	0	18.11	0
18.12	0	18.12	0
18.13	0	18.13	0
18.14	0	18.14	0
18.15	0	18.15	0
18.16	1	18.16	0
18.17	0	18.17	0
18.18	0	18.18	1
18.19	0	18.19	0
18.2	0	18.2	0
18.21	0	18.21	0
18.22	0	18.22	0
18.23	0	18.23	0
18.24	0	18.24	0
18.25	1	18.25	0
18.26	0	18.26	0
18.27	1	18.27	0
18.28	1	18.28	0
18.29	2	18.29	0
18.3	1	18.3	1
18.31	0	18.31	0
18.32	1	18.32	0
18.33	0	18.33	0
18.34	0	18.34	0
18.35	1	18.35	0
18.36	0	18.36	0
18.37	0	18.37	0
18.38	1	18.38	0
18.39	0	18.39	0
18.4	0	18.4	0
18.41	0	18.41	0
18.42	0	18.42	0
18.43	0	18.43	1
18.44	1	18.44	0
18.45	0	18.45	0
18.46	0	18.46	0
18.47	1	18.47	0
18.48	0	18.48	0
18.49	0	18.49	0
18.5	1	18.5	0
18.51	0	18.51	0
18.52	0	18.52	0
18.53	0	18.53	0
18.54	0	18.54	0
18.55	1	18.55	0
18.56	2	18.56	0
18.57	1	18.57	0
18.58	1	18.58	0
18.59	1	18.59	0
18.6	1	18.6	0
18.61	0	18.61	0
18.62	1	18.62	0
18.63	1	18.63	0
18.64	0	18.64	0
18.65	0	18.65	0
18.66	1	18.66	0
18.67	1	18.67	0
18.68	0	18.68	0
18.69	0	18.69	0
18.7	0	18.7	0
18.71	0	18.71	0
18.72	1	18.72	0
18.73	0	18.73	0
18.74	0	18.74	0
18.75	2	18.75	0
18.76	1	18.76	1
18.77	1	18.77	0
18.78	2	18.78	0
18.79	1	18.79	0
18.8	0	18.8	0
18.81	0	18.81	0
18.82	1	18.82	0
18.83	1	18.83	0
18.84	0	18.84	0
18.85	0	18.85	0
18.86	0	18.86	0
18.87	1	18.87	0
18.88	0	18.88	0
18.89	0	18.89	0
18.9	0	18.9	0
18.91	0	18.91	1
18.92	0	18.92	0
18.93	1	18.93	0
18.94	0	18.94	0
18.95	0	18.95	0
18.96	0	18.96	0
18.97	0	18.97	0
18.98	1	18.98	0
18.99	0	18.99	0
19	0	19	0
19.01	0	19.01	0
19.02	0	19.02	0
19.03	0	19.03	0
19.04	1	19.04	0
19.05	0	19.05	0
19.06	1	19.06	0
19.07	0	19.07	0
19.08	0	19.08	0
19.09	0	19.09	0
19.1	0	19.1	0
19.11	0	19.11	0
19.12	0	19.12	0
19.13	0	19.13	0
19.14	0	19.14	0
19.15	0	19.15	0
19.16	0	19.16	0
19.17	0	19.17	1
19.18	0	19.18	0
19.19	1	19.19	0
19.2	0	19.2	0
19.21	0	19.21	0
19.22	0	19.22	0
19.23	1	19.23	0
19.24	1	19.24	0
19.25	1	19.25	0
19.26	1	19.26	0
19.27	1	19.27	0
19.28	0	19.28	0
19.29	0	19.29	0
19.3	0	19.3	0
19.31	1	19.31	0
19.32	0	19.32	0
19.33	1	19.33	1
19.34	1	19.34	0
19.35	1	19.35	0
19.36	0	19.36	0
19.37	0	19.37	0
19.38	0	19.38	0
19.39	0	19.39	0
19.4	1	19.4	0
19.41	0	19.41	0
19.42	0	19.42	0
19.43	0	19.43	0
19.44	1	19.44	0
19.45	0	19.45	0
19.46	0	19.46	0
19.47	0	19.47	0
19.48	0	19.48	0
19.49	1	19.49	0
19.5	0	19.5	0
19.51	2	19.51	0
19.52	1	19.52	0
19.53	1	19.53	0
19.54	1	19.54	0
19.55	0	19.55	0
19.56	0	19.56	0
19.57	0	19.57	0
19.58	2	19.58	0
19.59	1	19.59	0
19.6	0	19.6	0
19.61	1	19.61	0
19.62	1	19.62	0
19.63	0	19.63	0
19.64	1	19.64	0
19.65	1	19.65	0
19.66	0	19.66	1
19.67	0	19.67	0
19.68	1	19.68	0
19.69	0	19.69	0
19.7	0	19.7	0
19.71	0	19.71	0
19.72	0	19.72	0
19.73	1	19.73	0
19.74	1	19.74	0
19.75	0	19.75	0
19.76	0	19.76	0
19.77	1	19.77	0
19.78	0	19.78	0
19.79	0	19.79	0
19.8	0	19.8	1
19.81	0	19.81	0
19.82	1	19.82	0
19.83	0	19.83	0
19.84	1	19.84	0
19.85	0	19.85	0
19.86	0	19.86	0
19.87	1	19.87	0
19.88	0	19.88	0
19.89	0	19.89	0
19.9	0	19.9	0
19.91	1	19.91	0
19.92	0	19.92	0
19.93	1	19.93	0
19.94	0	19.94	0
19.95	0	19.95	0
19.96	0	19.96	0
19.97	0	19.97	0
19.98	1	19.98	0
19.99	0	19.99	0
20	0	20	0
20.01	0	20.01	0
20.02	0	20.02	0
20.03	1	20.03	0
20.04	1	20.04	0
20.05	0	20.05	0
20.06	0	20.06	0
20.07	0	20.07	0
20.08	2	20.08	0
20.09	1	20.09	0
20.1	0	20.1	0
20.11	0	20.11	0
20.12	0	20.12	0
20.13	1	20.13	0
20.14	0	20.14	0
20.15	0	20.15	0
20.16	0	20.16	0
20.17	0	20.17	0
20.18	0	20.18	0
20.19	0	20.19	0
20.2	0	20.2	0
20.21	0	20.21	0
20.22	1	20.22	0
20.23	0	20.23	0
20.24	0	20.24	0
20.25	1	20.25	0
20.26	1	20.26	0
20.27	0	20.27	0
